section,page,row,model,quality,brand,pdf_prices,note,pdf_source
samsung,2,44,NOTE 10,OLED PREMIUM,HAODE,"$1,500 MXN / $1,400 MXN / $1,300 MXN / $1,200 MXN / $1,100 MXN",ACTUALIZACION AUTOMATICA,p2 r44: NOTE 10 | OLED PREMIUM
samsung,2,45,NOTE 10+,INCELL FHD C/M,HL,$550 MXN / $530 MXN / $520 MXN / $500 MXN / $470 MXN,Pantalla completa,p2 r45: NOTE 10+ | INCELL FHD C/M
samsung,2,46,NOTE10 LITE,INCELL FHD C/M,HL,$650 MXN / $640 MXN / $630 MXN / $620 MXN / $610 MXN,Pantalla completa,p2 r46: NOTE10 LITE | INCELL FHD C/M
samsung,2,47,NOTE 20,INCELL FHD C/M,HL,$650 MXN / $620 MXN / $600 MXN / $590 MXN / $580 MXN,Pantalla completa,p2 r47: NOTE 20 | INCELL FHD C/M
samsung,2,48,NOTE 20,AMOLED PREMIUM C/M,HAODE,"$1,200 MXN / $1,100 MXN / $1,000 MXN / $900 MXN / $850 MXN",ACTUALIZACION AUTOMATICA,p2 r48: NOTE 20 | AMOLED PREMIUM C/M
samsung,2,49,NOTE 20 Ultra,INCELL FHD C/M,HL,$680 MXN / $670 MXN / $660 MXN / $650 MXN / $640 MXN,Pantalla completa,p2 r49: NOTE 20 Ultra | INCELL FHD C/M
samsung,2,50,NOTE 20 Ultra,AMOLED PREMIUM C/M,HAODE,"$1,500 MXN / $1,450 MXN / $1,400 MXN / $1,370 MXN / $1,350 MXN",ACTUALIZACION AUTOMATICA,p2 r50: NOTE 20 Ultra | AMOLED PREMIUM C/M
samsung,2,51,NOTE 20 Ultra,TIPO ORIGINAL C/M,HAODE,"$3,000 MXN / $2,900 MXN / $2,800 MXN / $2,700 MXN / $2,600 MXN",ACTUALIZACION AUTOMATICA,p2 r51: NOTE 20 Ultra | TIPO ORIGINAL C/M
samsung,2,52,Z FLIP3,INCELL S/M,HAODE,"$1,500 MXN / $1,400 MXN / $1,300 MXN / $1,200 MXN / $1,100 MXN",Pantalla completa,p2 r52: Z FLIP3 | INCELL S/M
samsung,2,53,Z FLIP4,INCELL S/M,HAODE,"$1,500 MXN / $1,400 MXN / $1,300 MXN / $1,200 MXN / $1,100 MXN",Pantalla completa,p2 r53: Z FLIP4 | INCELL S/M
samsung,2,54,Z FLIP5,INCELL S/M,HAODE,"$1,700 MXN / $1,600 MXN / $1,500 MXN / $1,400 MXN / $1,300 MXN",Pantalla completa,p2 r54: Z FLIP5 | INCELL S/M
samsung,2,55,Z FLIP6,INCELL S/M,HAODE,"$1,800 MXN / $1,700 MXN / $1,600 MXN / $1,500 MXN / $1,400 MXN",Pantalla completa,p2 r55: Z FLIP6 | INCELL S/M
samsung,2,56,Z FLIP3,TIPO ORIGINAL C/M,HAODE,"$3,000 MXN / $2,900 MXN / $2,800 MXN / $2,700 MXN / $2,600 MXN",ACTUALIZACION AUTOMATICA,p2 r56: Z FLIP3 | TIPO ORIGINAL C/M
samsung,2,57,Z FLIP4,TIPO ORIGINAL C/M,HAODE,"$3,600 MXN / $3,500 MXN / $3,400 MXN",ACTUALIZACION AUTOMATICA,p2 r57: Z FLIP4 | TIPO ORIGINAL C/M
samsung,2,58,Z FLIP5,TIPO ORIGINAL C/M,HAODE,"$4,000 MXN / $3,900 MXN / $3,800 MXN",ACTUALIZACION AUTOMATICA,p2 r58: Z FLIP5 | TIPO ORIGINAL C/M
samsung,2,59,Z FLIP6,TIPO ORIGINAL C/M,HAODE,"$4,500 MXN / $4,400 MXN / $4,300 MXN",ACTUALIZACION AUTOMATICA,p2 r59: Z FLIP6 | TIPO ORIGINAL C/M
samsung,2,60,Z FLIP7,TIPO ORIGINAL C/M,HAODE,"$5,800 MXN / $5,600 MXN / $5,500 MXN",ACTUALIZACION AUTOMATICA,p2 r60: Z FLIP7 | TIPO ORIGINAL C/M
samsung,2,61,Z FOLD3,ORIGINAL C/M,HAODE,"$4,500 MXN / $4,400 MXN / $4,300 MXN",ACTUALIZACION AUTOMATICA,p2 r61: Z FOLD3 | ORIGINAL C/M
samsung,2,62,Z FOLD4,ORIGINAL C/M,HAODE,"$6,000 MXN / $5,900 MXN / $5,800 MXN",ACTUALIZACION AUTOMATICA,p2 r62: Z FOLD4 | ORIGINAL C/M
samsung,2,63,Z FOLD5,ORIGINAL C/M,HAODE,"$7,500 MXN / $7,400 MXN / $7,300 MXN",ACTUALIZACION AUTOMATICA,p2 r63: Z FOLD5 | ORIGINAL C/M
samsung,2,64,Z FOLD6,ORIGINAL C/M,HAODE,"$9,800 MXN / $9,700 MXN / $9,600 MXN",ACTUALIZACION AUTOMATICA,p2 r64: Z FOLD6 | ORIGINAL C/M
micas,3,2,Máquina de Micas （X200T）,MICA,HAODE,"$6,800 MXN / $6,500 MXN / $6,200 MXN","Mayor cantidad, menor precio.",p3 r2: Máquina de Micas （X200T） | MICA
