section,page,row,model,quality,brand,pdf_prices,note,pdf_source
iphone,1,48,16PLUS,INCELL FHD,HL,$400 MXN / $380 MXN / $360 MXN / $350 MXN / $330 MXN,Tamaño original,p1 r48: 16PLUS | INCELL FHD
iphone,1,49,16PRO,INCELL FHD,HL,$700 MXN / $680 MXN / $660 MXN / $650 MXN / $620 MXN,Tamaño original,p1 r49: 16PRO | INCELL FHD
iphone,1,50,16PRO,OLED PREMIUM,HL,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,100 MXN",Tamaño original,p1 r50: 16PRO | OLED PREMIUM
iphone,1,51,16 PROMAX,OLED PREMIUM,HL,"$1,400 MXN / $1,350 MXN / $1,300 MXN / $1,250 MXN / $1,200 MXN",Tamaño original,p1 r51: 16 PROMAX | OLED PREMIUM
iphone,1,52,16 PROMAX,SOFT OLED PREMIUM,HL,"$2,000 MXN / $1,950 MXN / $1,900 MXN / $1,850 MXN / $1,800 MXN",Tamaño original,p1 r52: 16 PROMAX | SOFT OLED PREMIUM
iphone,1,53,16 PROMAX,INCELL FHD,HL,$750 MXN / $730 MXN / $700 MXN / $680 MXN / $650 MXN,Tamaño original,p1 r53: 16 PROMAX | INCELL FHD
iphone,1,54,17,INCELL FHD,HL,"$1,000 MXN / $950 MXN / $920 MXN / $900 MXN / $850 MXN",Tamaño original,p1 r54: 17 | INCELL FHD
iphone,1,55,17PRO,INCELL FHD,HL,$850 MXN / $800 MXN / $755 MXN / $750 MXN / $700 MXN,Tamaño original,p1 r55: 17PRO | INCELL FHD
iphone,1,56,17 AIR,INCELL FHD,HL,"$2,500 MXN / $2,400 MXN / $2,300 MXN / $2,200 MXN / $2,100 MXN",Tamaño original,p1 r56: 17 AIR | INCELL FHD
iphone,1,57,17E,INCELL FHD,HL,$850 MXN / $800 MXN / $750 MXN / $700 MXN / $650 MXN,Tamaño original,p1 r57: 17E | INCELL FHD
iphone,1,58,17 PROMAX,INCELL FHD,HL,$900 MXN / $850 MXN / $805 MXN / $800 MXN / $750 MXN,Tamaño original,p1 r58: 17 PROMAX | INCELL FHD
iphone-diagnostica,1,62,XSMAX,DIAGNOTICO HARD OLED,HAODE,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r62: XSMAX | DIAGNOTICO HARD OLED
iphone-diagnostica,1,63,11PROMAX,DIAGNOTICO HARD OLED,HAODE,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r63: 11PROMAX | DIAGNOTICO HARD OLED
iphone-diagnostica,1,64,12/12PRO,DIAGNOTICO HARD OLED,HAODE,"$1,000 MXN / $950 MXN / $900 MXN / $850 MXN / $800 MXN",Tamaño original,p1 r64: 12/12PRO | DIAGNOTICO HARD OLED
iphone-diagnostica,1,65,12PROMAX,DIAGNOTICO HARD OLED,HAODE,"$1,200 MXN / $1,050 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",Tamaño original,p1 r65: 12PROMAX | DIAGNOTICO HARD OLED
iphone-diagnostica,1,66,12MINI,DIAGNOTICO HARD OLED,HAODE,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,050 MXN",,p1 r66: 12MINI | DIAGNOTICO HARD OLED
iphone-diagnostica,1,67,13,DIAGNOTICO SOFT OLED,HAODE,"$1,200 MXN / $1,050 MXN / $1,100 MXN / $1,050 MXN / $1,000 MXN",Tamaño original,p1 r67: 13 | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,68,13PRO,DIAGNOTICO SOFT OLED,HAODE,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,050 MXN",Tamaño original,p1 r68: 13PRO | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,69,13PROMAX,DIAGNOTICO SOFT OLED,HAODE,"$1,400 MXN / $1,350 MXN / $1,300 MXN / $1,250 MXN / $1,200 MXN",Tamaño original,p1 r69: 13PROMAX | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,70,14,DIAGNOTICO SOFT OLED,HAODE,"$1,300 MXN / $1,250 MXN / $1,200 MXN / $1,150 MXN / $1,050 MXN",Tamaño original,p1 r70: 14 | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,71,14PRO,DIAGNOTICO SOFT OLED,HAODE,"$1,500 MXN / $1,450 MXN / $1,400 MXN / $1,350 MXN / $1,250 MXN",Tamaño original,p1 r71: 14PRO | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,72,14PROMAX,DIAGNOTICO SOFT OLED,HAODE,"$1,600 MXN / $1,550 MXN / $1,500 MXN / $1,450 MXN / $1,400 MXN",Tamaño original,p1 r72: 14PROMAX | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,73,14PLUS,DIAGNOTICO SOFT OLED,HAODE,"$1,500 MXN / $1,450 MXN / $1,400 MXN / $1,350 MXN / $1,250 MXN",Tamaño original,p1 r73: 14PLUS | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,74,15,DIAGNOTICO SOFT OLED,HAODE,"$1,600 MXN / $1,550 MXN / $1,500 MXN / $1,450 MXN / $1,300 MXN",Tamaño original,p1 r74: 15 | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,75,15PRO,DIAGNOTICO SOFT OLED,HAODE,"$1,700 MXN / $1,650 MXN / $1,600 MXN / $1,550 MXN / $1,500 MXN",Tamaño original,p1 r75: 15PRO | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,76,15PROMAX,DIAGNOTICO SOFT OLED,HAODE,"$2,000 MXN / $1,950 MXN / $1,900 MXN / $1,850 MXN / $1,700 MXN",Tamaño original,p1 r76: 15PROMAX | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,77,15PLUS,DIAGNOTICO SOFT OLED,HAODE,"$2,000 MXN / $1,950 MXN / $1,900 MXN / $1,850 MXN / $1,700 MXN",Tamaño original,p1 r77: 15PLUS | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,78,16E,DIAGNOTICO SOFT OLED,HAODE,"$1,800 MXN / $1,750 MXN / $1,700 MXN / $1,650 MXN / $1,550 MXN",Tamaño original,p1 r78: 16E | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,79,16,DIAGNOTICO SOFT OLED,HAODE,"$2,000 MXN / $1,950 MXN / $1,900 MXN / $1,850 MXN / $1,700 MXN",Tamaño original,p1 r79: 16 | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,80,16PRO,DIAGNOTICO HARD OLED,HAODE,"$2,300 MXN / $2,250 MXN / $2,200 MXN / $2,150 MXN / $2,000 MXN",Tamaño original,p1 r80: 16PRO | DIAGNOTICO HARD OLED
iphone-diagnostica,1,81,16PROMAX,DIAGNOTICO HARD OLED,HAODE,"$2,500 MXN / $2,450 MXN / $2,400 MXN / $2,350 MXN / $2,300 MXN",Tamaño original,p1 r81: 16PROMAX | DIAGNOTICO HARD OLED
iphone-diagnostica,1,82,16PLUS,DIAGNOTICO SOFT OLED,HAODE,"$2,500 MXN / $2,450 MXN / $2,400 MXN / $2,350 MXN / $2,200 MXN",Tamaño original,p1 r82: 16PLUS | DIAGNOTICO SOFT OLED
iphone-diagnostica,1,83,17,DIAGNOTICO HARD OLED,HAODE,"$2,500 MXN / $2,450 MXN / $2,400 MXN / $2,350 MXN / $2,300 MXN",Tamaño original,p1 r83: 17 | DIAGNOTICO HARD OLED
iphone-diagnostica,1,84,17PRO,DIAGNOTICO HARD OLED,HAODE,"$2,700 MXN / $2,650 MXN / $2,600 MXN / $2,550 MXN / $2,500 MXN",Tamaño original,p1 r84: 17PRO | DIAGNOTICO HARD OLED
iphone-diagnostica,1,85,17PROMAX,DIAGNOTICO HARD OLED,HAODE,"$3,000 MXN / $2,950 MXN / $2,900 MXN / $2,850 MXN / $2,700 MXN",Tamaño original,p1 r85: 17PROMAX | DIAGNOTICO HARD OLED
samsung,2,2,S8,INCELL FHD C/M,HL,$360 MXN / $350 MXN / $340 MXN / $320 MXN / $310 MXN,Pantalla completa,p2 r2: S8 | INCELL FHD C/M
samsung,2,3,S8+,INCELL FHD C/M,HL,$370 MXN / $360 MXN / $350 MXN / $340 MXN / $310 MXN,Pantalla completa,p2 r3: S8+ | INCELL FHD C/M
samsung,2,4,S9,INCELL FHD C/M,HL,$360 MXN / $350 MXN / $340 MXN / $320 MXN / $320 MXN,Pantalla completa,p2 r4: S9 | INCELL FHD C/M
samsung,2,5,S9 PLUS,INCELL FHD C/M,HL,$370 MXN / $360 MXN / $350 MXN / $340 MXN / $330 MXN,Pantalla completa,p2 r5: S9 PLUS | INCELL FHD C/M
samsung,2,6,S10,INCELL FHD C/M,HL,$380 MXN / $370 MXN / $360 MXN / $350 MXN / $340 MXN,Pantalla completa,p2 r6: S10 | INCELL FHD C/M
samsung,2,7,S10 PLUS,INCELL FHD C/M,HL,$380 MXN / $370 MXN / $360 MXN / $350 MXN / $400 MXN,Pantalla completa,p2 r7: S10 PLUS | INCELL FHD C/M
samsung,2,8,S10E,INCELL FHD C/M,HL,$600 MXN / $580 MXN / $570 MXN / $560 MXN / $520 MXN,Pantalla completa,p2 r8: S10E | INCELL FHD C/M
samsung,2,9,S10 LITE,INCELL FHD C/M,HL,$450 MXN / $420 MXN / $400 MXN / $380 MXN / $330 MXN,Pantalla completa,p2 r9: S10 LITE | INCELL FHD C/M
samsung,2,10,S20 4G,INCELL FHD C/M,HL,$470 MXN / $460 MXN / $450 MXN / $420 MXN / $400 MXN,Pantalla completa,p2 r10: S20 4G | INCELL FHD C/M
samsung,2,11,S20 5G,INCELL FHD C/M,HL,$470 MXN / $460 MXN / $450 MXN / $420 MXN / $400 MXN,Pantalla completa,p2 r11: S20 5G | INCELL FHD C/M
samsung,2,12,S20 PLUS,INCELL FHD C/M,HL,$550 MXN / $530 MXN / $520 MXN / $500 MXN / $470 MXN,Pantalla completa,p2 r12: S20 PLUS | INCELL FHD C/M
samsung,2,13,S20 PLUS,OLED PREMIUM C/M,HAODE,"$1,100 MXN / $1,050 MXN / $1,000 MXN / $950 MXN / $900 MXN",ACTUALIZACION AUTOMATICA,p2 r13: S20 PLUS | OLED PREMIUM C/M
samsung,2,14,S20FE,INCELL FHD C/M,HL,$350 MXN / $330 MXN / $320 MXN / $310 MXN / $290 MXN,Pantalla completa,p2 r14: S20FE | INCELL FHD C/M
samsung,2,15,S20 Ultra,INCELL FHD C/M,HL,$650 MXN / $620 MXN / $600 MXN / $580 MXN / $560 MXN,Pantalla completa,p2 r15: S20 Ultra | INCELL FHD C/M
