date,planned_time,channel,campaign_code,focus,media_asset,landing_url,publish_status,published_url,qualified_whatsapp_leads,quotes_sent,orders_paid,revenue_mxn,median_first_response_minutes,owner_notes
2026-08-18,10:30,facebook,daily_20260818_fundas_rotacion_rapida,Fundas,assets/images/home-categories/fundas-accesorios.jpg,https://haode.com.mx/fundas-celular-mayoreo-mexico/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260818_fundas_rotacion_rapida&utm_content=fundas_rotacion_rapida,pending,,,,,,,
2026-08-18,13:00,instagram,daily_20260818_fundas_rotacion_rapida,Fundas,assets/images/home-categories/fundas-accesorios.jpg,https://haode.com.mx/fundas-celular-mayoreo-mexico/?utm_source=instagram&utm_medium=organic_social&utm_campaign=daily_20260818_fundas_rotacion_rapida&utm_content=fundas_rotacion_rapida,pending,,,,,,,
2026-08-18,18:00,whatsapp,daily_20260818_fundas_rotacion_rapida,Fundas,assets/images/home-categories/fundas-accesorios.jpg,https://haode.com.mx/fundas-celular-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260818_fundas_rotacion_rapida&utm_content=fundas_rotacion_rapida,pending,,,,,,,
2026-08-19,10:30,facebook,daily_20260819_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260819_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-19,13:00,instagram,daily_20260819_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=instagram&utm_medium=organic_social&utm_campaign=daily_20260819_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-19,16:00,tiktok,daily_20260819_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=tiktok&utm_medium=organic_social&utm_campaign=daily_20260819_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-19,18:00,whatsapp,daily_20260819_iphone_incell_mayoreo,iPhone INCELL,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-incell-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260819_iphone_incell_mayoreo&utm_content=iphone_incell_mayoreo,pending,,,,,,,
2026-08-19,10:30,facebook,daily_20260819_iphone_mayoreo,iPhone mayoreo,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-mayoreo-mexico/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260819_iphone_mayoreo&utm_content=iphone_mayoreo,pending,,,,,,,
2026-08-19,13:00,instagram,daily_20260819_iphone_mayoreo,iPhone mayoreo,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-mayoreo-mexico/?utm_source=instagram&utm_medium=organic_social&utm_campaign=daily_20260819_iphone_mayoreo&utm_content=iphone_mayoreo,pending,,,,,,,
2026-08-19,18:00,whatsapp,daily_20260819_iphone_mayoreo,iPhone mayoreo,assets/products/iphone-incell/main.jpg,https://haode.com.mx/pantallas-iphone-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260819_iphone_mayoreo&utm_content=iphone_mayoreo,pending,,,,,,,
2026-08-20,10:30,facebook,daily_20260820_samsung_incell_con_marco,Samsung INCELL,assets/products/samsung-incell/main.jpg,https://haode.com.mx/pantallas-samsung-incell-mayoreo-mexico/?utm_source=facebook&utm_medium=organic_social&utm_campaign=daily_20260820_samsung_incell_con_marco&utm_content=samsung_incell_con_marco,pending,,,,,,,
2026-08-20,18:00,whatsapp,daily_20260820_samsung_incell_con_marco,Samsung INCELL,assets/products/samsung-incell/main.jpg,https://haode.com.mx/pantallas-samsung-incell-mayoreo-mexico/?utm_source=whatsapp&utm_medium=referral&utm_campaign=daily_20260820_samsung_incell_con_marco&utm_content=samsung_incell_con_marco,pending,,,,,,,
2026-08-21,09:30,google_business,daily_20260821_x200t_cortadora_micas,Máquinas de Mica,assets/products/cut-machine/x200t/main.jpg,https://haode.com.mx/micas-hidrogel-mayoreo-mexico/?utm_source=google_business&utm_medium=organic&utm_campaign=daily_20260821_x200t_cortadora_micas&utm_content=x200t_cortadora_micas,pending,,,,,,,
